Listing Name,Price,Room Type,Reviews
"[""Large room with private bath""]",55,"Private room
        ",102 reviews
"[""Free Parking! CLOSE to Capital""]",68,"Private room
        ",102 reviews
"[""Cozy Casita Close to Everything!""]",79,"Entire home/apt
        ",45 reviews
"[""Cute Room NEAR Capitol Private Bath""]",66,"Private room
        ",166 reviews
"[""Entire Cozy Midtown Victorian Flat""]",89,"Entire home/apt
        ",3 reviews
"[""Private suite, Art-filled Craftsman""]",69,"Private room
        ",185 reviews
"[""Comfortable living near UCDMC.""]",55,"Private room
        ",9 reviews
"[""Art Gallery Flat in Midtown""]",90,"Entire home/apt
        ",25 reviews
"[""Private Rm & Bath near Downtown Sac""]",63,"Private room
        ",98 reviews
"[""Cozy Private Suite Suburban Farm""]",50,"Private room
        ",46 reviews
"[""Sacramento, Find California Gold""]",47,"Private room
        ",63 reviews
"[""East Sacramento Home with Pool/Spa""]",60,"Private room
        ",14 reviews
"[""Midtown Private Studio Cottage""]",83,"Entire home/apt
        ",24 reviews
"[""Entire Modern Apt in Midtown""]",91,"Entire home/apt
        ",159 reviews
"[""Private Room & Bath""]",60,"Private room
        ",6 reviews
"[""Walkable Location Artsy Character!""]",65,"Private room
        ",77 reviews
"[""Midtown Industrial Artist's Loft""]",138,"Entire home/apt
        ",6 reviews
"[""Cozy Land Park Guest Cottage""]",75,"Entire home/apt
        ",89 reviews
"[""Remodeled Land Park bungalow""]",185,"Entire home/apt
        ",48 reviews
"[""Midtown Flat Close to Everything!""]",99,"Entire home/apt
        ",41 reviews
"[""Land Park Suite, Cal King, Jacuzzi""]",110,"Private room
        ",39 reviews
"[""Midtown Living""]",60,"Private room
        ",14 reviews
"[""Private Guest Cottage""]",76,"Entire home/apt
        ",17 reviews
"[""Entire Sharp 2b/2ba Midtown Home""]",110,"Entire home/apt
        ",85 reviews
"[""Cozy Private Bedroom with Pool & Sp""]",35,"Private room
        ",22 reviews
"[""Brand New Guest House""]",130,"Entire home/apt
        ",7 reviews
"[""CERTIFIED TOP CHOICE ACCOMMODATION""]",75,"Private room
        ",14 reviews
"[""THE PARIS SUITE-CERTIFIED TOP RATED""]",75,"Private room
        ",149 reviews
"[""Attic Appartment near UC Davis Med""]",80,"Entire home/apt
        ",104 reviews
"[""Land Park Suite, Cal King, Pool Spa""]",110,"Private room
        ",19 reviews
"[""Quiet Downtown Bungalow""]",99,"Entire home/apt
        ",50 reviews
"[""9.5 mls to airport, 4.7 downtown sa""]",85,"Entire home/apt
        ",64 reviews
"[""Private Room Downtown Sacramento A+""]",59,"Private room
        ",27 reviews
"[""Nice and cozy place to call home""]",100,"Entire home/apt
        ",33 reviews
"[""Charming Downtown Apartment""]",120,"Entire home/apt
        ",75 reviews
"[""Bedroom in Beautiful Sacramento""]",26,"Private room
        
        ",2 reviews
"[""Midtown Studio""]",80,"Entire home/apt
        ",3 reviews
"[""Master Bedroom w/ Private Bathroom""]",33,"Private room
        
        ",2 reviews
"[""1920's Bungalow with private yard""]",85,"Entire home/apt
        
        ",2 reviews
"[""Hakuna Matata Room for two & b'fast""]",49,"Private room
        ",129 reviews
"[""Mid century apartment in midtown""]",92,"Entire home/apt
        ",42 reviews
"[""Midtown Cozy Bungalow""]",73,"Private room
        ",36 reviews
"[""Clean, Quiet and Comfortable""]",49,"Private room
        ",18 reviews
"[""The Greens Hotel""]",89,"Private room
        ",31 reviews
"[""Room in charming renovated home.""]",43,"Private room
        ",10 reviews
"[""Cozy Room in Midtown Victorian""]",51,"Private room
        ",24 reviews
"[""A Wee House""]",41,"Private room
        ",37 reviews
"[""Private Room and Bathroom""]",66,"Private room
        ",17 reviews
"[""Comfy queen bed & space to think""]",44,"Private room
        ",30 reviews
"[""Private Room Save Money Travel.""]",28,"Private room
        ",79 reviews
"[""Private room in Midtown""]",67,"Private room
        ",5 reviews
"[""Sophisticated Urban Cottage""]",95,"Entire home/apt
        ",6 reviews
"[""NEW\n                    \n                      Central, Midtown Sacramento Apt""]",75,Entire home/apt,N/A
"[""Room in cottage near downtown Sac""]",55,Private room,N/A
"[""Midtown Garden Studio""]",86,"Entire home/apt
        ",51 reviews
"[""East Sac Home w/Pool & Spa""]",75,"Private room
        ",33 reviews
"[""Private Garden Suite in Sacramento""]",65,"Private room
        ",10 reviews
"[""Cozy One Bed in Heart of Midtown""]",90,"Entire home/apt
        ",4 reviews
"[""Land Park Oasis 2-Bdrm Guest Suite""]",118,"Entire home/apt
        ",36 reviews
"[""Central apt 2 blocks from Capitol!""]",74,"Entire home/apt
        ",17 reviews
